filepath,water_fraction,water_pixels,total_pixels,error
data/raw/external/river_water_dataset\2019\images\DJI_211.JPG,0.549717919845574,2870583,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_212.JPG,0.6253184652388394,3265363,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_213.JPG,0.6241309709838527,3259162,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_214.JPG,0.6237941217023624,3257403,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_215.JPG,0.4799677130250942,2506353,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_216.JPG,0.304532815516132,1590246,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_217.JPG,0.24944043570181082,1302558,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_218.JPG,0.253452753010387,1323510,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_219.JPG,0.2371022535772283,1238129,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_220.JPG,0.11520207126880534,601576,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_221.JPG,0.019553727364647486,102108,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_246.JPG,0.009210979869473297,48099,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_247.JPG,0.07922469130128382,413705,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_248.JPG,0.1689508839660508,882248,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_249.JPG,0.2515094065018231,1313362,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_250.JPG,0.2589865413487759,1352407,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_251.JPG,0.31398949045561786,1639628,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_252.JPG,0.48153456966020164,2514535,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_253.JPG,0.6064805665349143,3166993,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_254.JPG,0.6225708168642952,3251015,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_255.JPG,0.6325462665073383,3303106,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_256.JPG,0.6337454422894261,3309368,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_257.JPG,0.5997989245335049,3132102,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_258.JPG,0.47540234243343443,2482513,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_259.JPG,0.41096588994086464,2146031,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_260.JPG,0.3589038131568465,1874167,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_261.JPG,0.17091318901859853,892495,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_262.JPG,0.03688260256763796,192598,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_283.JPG,0.09574103011918987,499952,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_284.JPG,0.21818124368048533,1139325,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_285.JPG,0.2691490869258817,1405475,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_286.JPG,0.2957220715752061,1544237,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_287.JPG,0.36033106596807307,1881620,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_288.JPG,0.3377895486717529,1763910,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_289.JPG,0.31335083647394063,1636293,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_290.JPG,0.31346688574317494,1636899,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_291.JPG,0.2906871418941692,1517945,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_292.JPG,0.22285328001960963,1163722,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_293.JPG,0.2057067132395747,1074184,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_294.JPG,0.2153185035389282,1124376,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_295.JPG,0.2020908018506603,1055302,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_296.JPG,0.1491773140913687,778992,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_297.JPG,0.051701289946992676,269980,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_317.JPG,0.28377646536139967,1481858,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_318.JPG,0.35249831479609034,1840718,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_319.JPG,0.40061873793547204,2091999,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_320.JPG,0.41294294052762204,2156355,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_321.JPG,0.4017717621104881,2098020,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_322.JPG,0.40989099794711525,2140418,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_323.JPG,0.12245476759506083,639449,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_324.JPG,0.2233726292244998,1166434,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_325.JPG,0.20462933174004963,1068558,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_326.JPG,0.1936197796978889,1011067,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_327.JPG,0.18498693966970003,965987,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_328.JPG,0.11350422832980972,592710,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_329.JPG,0.025703189631399944,134220,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_355.JPG,0.029037786867665533,151633,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_356.JPG,0.06501631583785275,339510,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_357.JPG,0.1494921408217667,780636,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_358.JPG,0.18541360265955817,968215,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_359.JPG,0.18342525354658823,957832,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_360.JPG,0.24630844593559456,1286203,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_361.JPG,0.3473841039311211,1814012,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_362.JPG,0.277669133192389,1449966,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_363.JPG,0.29956548549192635,1564307,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_364.JPG,0.34868611545178785,1820811,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_365.JPG,0.36875536201243986,1925611,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_366.JPG,0.23696954376934154,1237436,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_367.JPG,0.1653631231424457,863513,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_368.JPG,0.20251631583785273,1057524,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_369.JPG,0.15518947053957166,810387,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_370.JPG,0.13733875662591538,717172,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_371.JPG,0.04591816803014983,239781,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_372.JPG,0.011116600790513834,58050,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_373.JPG,0.009878550418236971,51585,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_374.JPG,0.03910496522351932,204203,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_375.JPG,0.06527081992830223,340839,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_376.JPG,0.05530628581058308,288805,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_377.JPG,0.05786664675062046,302175,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_379.JPG,0.0689144988816374,359866,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_380.JPG,0.1513678876734994,790431,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_381.JPG,0.06594087998284157,344338,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_382.JPG,0.06618714955418696,345624,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_383.JPG,0.06671013726751845,348355,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_384.JPG,0.06415188283236817,334996,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_385.JPG,0.33684832398811165,1758995,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_386.JPG,0.33781865673928363,1764062,5221920,
